Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
760.0,19000.0,26.5,2.12,28.1
765.0,19125.0,25.7,1.69,28.23
770.0,19250.0,25.2,1.4,28.36
775.0,19375.0,23.7,1.45,28.47
780.0,19500.0,24.6,1.68,28.6
785.0,19625.0,23.0,1.94,28.71
790.0,19750.0,23.5,1.65,28.83
795.0,19875.0,23.3,0.96,28.95
800.0,20000.0,23.6,0.88,29.06
805.0,20125.0,23.6,1.46,29.18
810.0,20250.0,23.3,1.59,29.3
815.0,20375.0,21.9,1.96,29.41
820.0,20500.0,24.4,1.44,29.53
825.0,20625.0,25.5,0.88,29.66
830.0,20750.0,23.1,1.79,29.77
835.0,20875.0,24.5,1.47,29.89
840.0,21000.0,22.6,1.28,30.01
845.0,21125.0,22.7,0.88,30.12
850.0,21250.0,24.7,1.13,30.24
855.0,21375.0,24.2,2.2,30.37
860.0,21500.0,22.8,2.14,30.48
865.0,21625.0,24.2,1.83,30.6
870.0,21750.0,25.2,0.56,30.73
875.0,21875.0,26.2,0.56,30.86
880.0,22000.0,25.2,1.71,30.98
885.0,22125.0,25.2,2.0,31.11
890.0,22250.0,25.6,2.65,31.24
895.0,22375.0,27.2,2.28,31.37
900.0,22500.0,25.9,1.26,31.5
905.0,22625.0,26.7,1.47,31.64
910.0,22750.0,26.3,1.39,31.77
915.0,22875.0,26.1,2.06,31.9
920.0,23000.0,24.9,2.22,32.02
925.0,23125.0,27.0,1.59,32.16
930.0,23250.0,26.8,1.5,32.29
935.0,23375.0,26.7,1.31,32.43
940.0,23500.0,26.6,1.51,32.56
945.0,23625.0,27.6,1.36,32.7
950.0,23750.0,27.8,1.71,32.84
955.0,23875.0,27.4,2.13,32.97
960.0,24000.0,29.1,2.0,33.12
965.0,24125.0,29.8,1.71,33.27
970.0,24250.0,29.4,1.36,33.41
975.0,24375.0,29.3,1.61,33.56
980.0,24500.0,29.7,2.31,33.71
985.0,24625.0,29.9,2.18,33.86
990.0,24750.0,28.9,2.15,34.0
995.0,24875.0,30.1,1.81,34.15
1000.0,25000.0,31.3,1.08,34.31
1005.0,25125.0,31.2,0.92,34.47
1010.0,25250.0,30.3,1.36,34.62
1015.0,25375.0,31.5,1.92,34.78
1020.0,25500.0,31.5,2.2,34.93
1025.0,25625.0,32.5,2.68,35.1
1030.0,25750.0,31.9,2.38,35.25
1035.0,25875.0,32.6,2.34,35.42
1040.0,26000.0,34.2,2.22,35.59
1045.0,26125.0,33.6,2.01,35.76
1050.0,26250.0,35.0,2.31,35.93
1055.0,26375.0,35.2,2.41,36.11
1060.0,26500.0,35.8,2.06,36.29
1065.0,26625.0,37.0,1.75,36.47
1070.0,26750.0,36.2,1.53,36.65
1075.0,26875.0,38.8,1.88,36.85
1080.0,27000.0,36.7,2.3,37.03
1085.0,27125.0,36.8,2.14,37.22
1090.0,27250.0,39.0,1.93,37.41
1095.0,27375.0,37.4,1.28,37.6
1100.0,27500.0,37.9,1.56,37.79
1105.0,27625.0,37.6,2.11,37.97
1110.0,27750.0,39.3,-6.83,38.17
1115.0,27875.0,39.7,-10.21,38.37
1120.0,28000.0,40.1,-10.93,38.57
1125.0,28125.0,39.7,-6.59,38.77
1130.0,28250.0,40.1,3.25,38.97
1135.0,28375.0,40.2,2.97,39.17
1140.0,28500.0,41.1,3.1,39.38
1145.0,28625.0,40.6,2.17,39.58
1150.0,28750.0,40.6,1.65,39.78
1155.0,28875.0,41.8,2.52,39.99
1160.0,29000.0,39.7,3.67,40.19
1165.0,29125.0,40.1,3.64,40.39
1170.0,29250.0,42.7,3.41,40.6
1175.0,29375.0,43.3,3.12,40.82
1180.0,29500.0,44.1,2.16,41.04
1185.0,29625.0,44.3,2.2,41.26
1190.0,29750.0,44.1,1.63,41.48
1195.0,29875.0,44.5,1.31,41.71
1200.0,30000.0,44.8,2.04,41.93
1205.0,30125.0,44.4,1.75,42.15
1210.0,30250.0,44.4,1.84,42.37
1215.0,30375.0,44.4,2.73,42.6
1220.0,30500.0,45.3,2.47,42.82
1225.0,30625.0,45.6,2.14,43.05
1230.0,30750.0,45.0,1.78,43.28
1235.0,30875.0,45.5,0.44,43.5
1240.0,31000.0,45.3,0.82,43.73
1245.0,31125.0,44.7,1.2,43.95
1250.0,31250.0,44.3,-7.08,44.17
1255.0,31375.0,44.4,-4.82,44.4
1260.0,31500.0,45.9,-11.8,44.63
1265.0,31625.0,45.4,0.15,44.85
1270.0,31750.0,45.0,12.38,45.08
1275.0,31875.0,43.3,7.51,45.3
1280.0,32000.0,46.2,9.39,45.53
1285.0,32125.0,45.3,1.55,45.75
1290.0,32250.0,45.3,-3.95,45.98
1295.0,32375.0,44.5,5.08,46.2
1300.0,32500.0,45.1,7.18,46.43
1305.0,32625.0,45.6,7.61,46.66
1310.0,32750.0,44.7,12.7,46.88
1315.0,32875.0,44.7,2.92,47.1
1320.0,33000.0,46.4,1.84,47.33
1325.0,33125.0,44.7,1.39,47.56
1330.0,33250.0,44.6,1.67,47.78
1335.0,33375.0,44.7,2.05,48.0
1340.0,33500.0,44.6,1.61,48.23
1345.0,33625.0,43.8,-0.29,48.45
1350.0,33750.0,44.6,0.05,48.67
1355.0,33875.0,44.0,1.09,48.89
1360.0,34000.0,44.5,3.02,49.11
1365.0,34125.0,43.7,3.47,49.33
1370.0,34250.0,44.9,1.68,49.55
1375.0,34375.0,44.2,1.78,49.77
1380.0,34500.0,43.9,2.24,49.99
1385.0,34625.0,45.3,3.74,50.22
1390.0,34750.0,45.6,3.87,50.45
1395.0,34875.0,44.4,3.34,50.67
1400.0,35000.0,45.4,2.93,50.9
1405.0,35125.0,44.9,2.67,51.12
1410.0,35250.0,46.0,2.51,51.35
1415.0,35375.0,44.6,1.89,51.58
1420.0,35500.0,44.9,2.03,51.8
1425.0,35625.0,45.1,2.15,52.03
1430.0,35750.0,44.7,2.42,52.25
1435.0,35875.0,44.4,1.25,52.47
1440.0,36000.0,45.0,1.55,52.7
1445.0,36125.0,44.2,2.67,52.92
1450.0,36250.0,45.1,2.59,53.14
1455.0,36375.0,45.4,2.81,53.37
1460.0,36500.0,44.3,1.42,53.59
1465.0,36625.0,45.4,0.95,53.82
1470.0,36750.0,45.5,2.04,54.05
1475.0,36875.0,45.3,2.96,54.27
1480.0,37000.0,45.9,3.56,54.5
1485.0,37125.0,45.1,2.84,54.73
1490.0,37250.0,44.8,2.22,54.95
1495.0,37375.0,46.1,2.19,55.18
1500.0,37500.0,45.2,2.77,55.41
1505.0,37625.0,44.8,2.89,55.63
1510.0,37750.0,44.9,2.05,55.86
1515.0,37875.0,45.1,1.99,56.08
1520.0,38000.0,45.7,1.95,56.31
1525.0,38125.0,45.7,2.21,56.54
1530.0,38250.0,45.0,2.16,56.76
1535.0,38375.0,43.7,1.93,56.98
1540.0,38500.0,44.7,3.15,57.2
1545.0,38625.0,46.2,3.73,57.44
1550.0,38750.0,46.2,3.74,57.67
1555.0,38875.0,45.2,2.97,57.89
1560.0,39000.0,45.2,1.05,58.12
1565.0,39125.0,45.8,1.04,58.35
1570.0,39250.0,44.9,1.81,58.57
1575.0,39375.0,44.8,2.6,58.8
1580.0,39500.0,44.6,2.65,59.02
1585.0,39625.0,44.7,2.07,59.24
1590.0,39750.0,45.6,1.66,59.47
1595.0,39875.0,46.7,1.66,59.7
1600.0,40000.0,45.9,2.01,59.93
1605.0,40125.0,45.3,1.38,60.16
1610.0,40250.0,45.9,1.51,60.39
1615.0,40375.0,46.3,1.61,60.62
1620.0,40500.0,47.7,2.28,60.86
1625.0,40625.0,47.3,3.69,61.1
1630.0,40750.0,46.3,3.25,61.33
1635.0,40875.0,46.0,2.26,61.56
1640.0,41000.0,47.4,1.92,61.79
1645.0,41125.0,46.2,2.38,62.02
1650.0,41250.0,46.3,3.04,62.26
1655.0,41375.0,46.9,2.88,62.49
1660.0,41500.0,46.2,1.93,62.72
1665.0,41625.0,47.7,1.57,62.96
1670.0,41750.0,47.2,1.95,63.2
1675.0,41875.0,47.3,2.3,63.43
1680.0,42000.0,46.8,2.44,63.67
1685.0,42125.0,46.1,2.65,63.9
1690.0,42250.0,47.5,2.29,64.13
1695.0,42375.0,46.5,1.96,64.37
1700.0,42500.0,46.3,2.34,64.6
1705.0,42625.0,46.7,2.7,64.83
1710.0,42750.0,47.6,2.41,65.07
1715.0,42875.0,45.9,2.31,65.3
1720.0,43000.0,45.7,1.97,65.53
1725.0,43125.0,46.6,1.91,65.76
1730.0,43250.0,45.5,2.28,65.99
1735.0,43375.0,46.6,1.93,66.22
1740.0,43500.0,46.9,2.51,66.46
1745.0,43625.0,47.1,2.31,66.69
1750.0,43750.0,47.4,2.17,66.93
1755.0,43875.0,47.9,2.04,67.17
1760.0,44000.0,47.1,1.95,67.4
1765.0,44125.0,46.2,2.28,67.64
1770.0,44250.0,46.6,2.04,67.87
1775.0,44375.0,47.3,1.97,68.11
1780.0,44500.0,46.2,2.6,68.34
1785.0,44625.0,47.0,2.79,68.57
1790.0,44750.0,47.2,2.26,68.81
1795.0,44875.0,47.2,2.35,69.04
1800.0,45000.0,46.5,2.33,69.28
1805.0,45125.0,48.0,3.07,69.52
1810.0,45250.0,46.8,3.17,69.75
1815.0,45375.0,46.4,2.66,69.98
1820.0,45500.0,46.6,2.28,70.21
1825.0,45625.0,46.0,1.74,70.44
1830.0,45750.0,45.6,2.53,70.67
1835.0,45875.0,46.0,2.97,70.9
1840.0,46000.0,46.5,3.23,71.14
1845.0,46125.0,47.0,2.53,71.37
1850.0,46250.0,46.0,1.16,71.6
1855.0,46375.0,46.6,0.48,71.83
1860.0,46500.0,46.5,0.85,72.07
1865.0,46625.0,46.8,1.11,72.3
1870.0,46750.0,45.6,1.51,72.53
1875.0,46875.0,45.7,2.32,72.76
1880.0,47000.0,48.0,2.58,73.0
1885.0,47125.0,45.3,2.45,73.22
1890.0,47250.0,47.2,2.18,73.46
1895.0,47375.0,48.3,1.61,73.7
1900.0,47500.0,48.0,1.81,73.94
1905.0,47625.0,47.7,2.33,74.18
1910.0,47750.0,45.6,2.84,74.41
1915.0,47875.0,47.1,2.67,74.64
1920.0,48000.0,46.7,1.81,74.88
1925.0,48125.0,46.9,1.82,75.11
1930.0,48250.0,47.2,1.77,75.35
1935.0,48375.0,46.1,2.98,75.58
1940.0,48500.0,47.6,2.49,75.81
1945.0,48625.0,47.8,1.45,76.05
1950.0,48750.0,46.8,1.28,76.29
1955.0,48875.0,46.6,1.21,76.52
1960.0,49000.0,46.4,2.85,76.75
1965.0,49125.0,46.9,3.41,76.99
1970.0,49250.0,45.9,2.91,77.22
1975.0,49375.0,46.1,3.08,77.45
1980.0,49500.0,46.0,1.96,77.68
1985.0,49625.0,45.6,1.7,77.9
1990.0,49750.0,48.5,1.66,78.15
1995.0,49875.0,47.6,0.93,78.39
2000.0,50000.0,47.7,1.52,78.62
2005.0,50125.0,47.5,2.29,78.86
2010.0,50250.0,45.9,2.02,79.09
2015.0,50375.0,47.0,2.3,79.33
2020.0,50500.0,46.4,2.08,79.56
2025.0,50625.0,46.0,1.96,79.79
2030.0,50750.0,45.6,2.93,80.02
2035.0,50875.0,47.1,2.74,80.25
2040.0,51000.0,47.3,1.95,80.49
2045.0,51125.0,47.0,1.52,80.72
2050.0,51250.0,47.7,1.11,80.96
2055.0,51375.0,46.5,2.24,81.19
2060.0,51500.0,47.6,3.51,81.43
2065.0,51625.0,46.9,3.5,81.67
2070.0,51750.0,46.5,3.01,81.9
2075.0,51875.0,45.7,2.27,82.13
2080.0,52000.0,46.1,1.46,82.36
2085.0,52125.0,46.8,1.62,82.59
2090.0,52250.0,45.6,1.86,82.82
2095.0,52375.0,45.5,2.64,83.05
2100.0,52500.0,46.4,3.67,83.28
2105.0,52625.0,47.4,3.42,83.52
2110.0,52750.0,46.1,2.42,83.75
2115.0,52875.0,46.2,0.96,83.98
2120.0,53000.0,45.5,0.28,84.2
2125.0,53125.0,46.0,0.83,84.43
2130.0,53250.0,46.3,2.06,84.67
2135.0,53375.0,45.2,1.69,84.89
2140.0,53500.0,45.1,1.95,85.12
2145.0,53625.0,45.1,1.82,85.34
2150.0,53750.0,45.7,2.57,85.57
2155.0,53875.0,45.9,3.09,85.8
2160.0,54000.0,47.4,2.03,86.04
2165.0,54125.0,47.4,1.75,86.28
2170.0,54250.0,47.5,1.79,86.51
2175.0,54375.0,45.9,1.95,86.74
2180.0,54500.0,47.7,1.87,86.98
2185.0,54625.0,45.6,0.87,87.21
2190.0,54750.0,47.0,1.24,87.44
2195.0,54875.0,48.1,2.03,87.68
2200.0,55000.0,46.4,2.13,87.92
2205.0,55125.0,46.2,2.34,88.15
2210.0,55250.0,46.0,2.31,88.38
2215.0,55375.0,45.5,2.65,88.6
2220.0,55500.0,46.8,1.65,88.84
2225.0,55625.0,45.7,-3.87,89.07
2230.0,55750.0,45.4,-1.33,89.29
2235.0,55875.0,46.7,2.8,89.53
2240.0,56000.0,45.3,6.56,89.75
2245.0,56125.0,47.4,2.85,89.99
2250.0,56250.0,45.1,-1.45,90.22
2255.0,56375.0,45.2,0.25,90.44
2260.0,56500.0,46.5,4.4,90.67
2265.0,56625.0,46.4,7.89,90.91
2270.0,56750.0,46.4,2.9,91.14
2275.0,56875.0,46.5,3.26,91.37
2280.0,57000.0,45.3,2.93,91.6
2285.0,57125.0,44.9,0.84,91.82
2290.0,57250.0,45.6,1.91,92.05
2295.0,57375.0,44.8,2.98,92.27
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
