Time (s),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,,-18.62,
5.0,,18.25,
10.0,,2.04,
15.0,,4.0,
20.0,,0.09,
25.0,,0.18,
30.0,,0.98,
35.0,,1.23,
40.0,,1.55,
45.0,,1.98,
50.0,,2.22,
55.0,4.1,3.11,0.02
60.0,11.6,4.95,0.08
65.0,50.3,6.3,0.33
70.0,103.4,8.53,0.85
75.0,146.3,11.05,1.58
80.0,200.3,12.69,2.58
85.0,255.9,14.41,3.86
90.0,294.1,14.29,5.33
95.0,289.1,13.8,6.78
100.0,277.1,13.59,8.16
105.0,255.6,13.28,9.44
110.0,257.0,12.9,10.72
115.0,260.0,11.49,12.02
120.0,224.8,12.3,13.15
125.0,218.5,13.15,14.24
130.0,241.7,13.51,15.45
135.0,293.5,13.13,16.92
140.0,249.8,11.96,18.17
145.0,259.3,11.73,19.46
150.0,285.0,11.63,20.89
155.0,262.6,11.52,22.2
160.0,264.3,10.7,23.52
165.0,265.6,10.54,24.85
170.0,249.0,9.6,26.1
175.0,223.2,9.43,27.21
180.0,251.0,9.84,28.47
185.0,242.0,10.1,29.68
190.0,244.7,10.6,30.9
195.0,253.3,9.75,32.17
200.0,250.1,9.23,33.42
205.0,235.3,9.05,34.59
210.0,225.6,9.28,35.72
215.0,238.0,9.79,36.91
220.0,251.6,10.29,38.17
225.0,259.4,10.39,39.47
230.0,272.2,10.53,40.83
235.0,271.8,10.45,42.19
240.0,271.5,10.28,43.54
245.0,269.5,9.92,44.89
250.0,260.0,9.34,46.19
255.0,263.1,9.55,47.51
260.0,253.0,9.55,48.77
265.0,244.8,9.74,50.0
270.0,251.9,9.72,51.25
275.0,260.6,9.27,52.56
280.0,258.4,9.44,53.85
285.0,266.7,9.63,55.18
290.0,255.7,9.5,56.46
295.0,248.9,8.84,57.71
300.0,237.0,8.32,58.89
305.0,221.0,7.96,60.0
310.0,220.9,8.32,61.1
315.0,240.3,8.35,62.3
320.0,225.8,7.61,63.43
325.0,214.2,6.51,64.5
330.0,194.3,4.78,65.47
335.0,156.9,3.81,66.26
340.0,131.1,2.77,66.91
345.0,105.6,1.92,67.44
350.0,80.2,1.46,67.84
355.0,60.0,0.66,68.14
360.0,42.1,0.68,68.35
365.0,28.2,0.2,68.49
370.0,19.0,-0.26,68.59
375.0,13.5,-0.28,68.66
380.0,9.7,-0.62,68.71
385.0,7.8,-0.01,68.74
390.0,7.0,0.14,68.78
395.0,6.5,0.58,68.81
400.0,6.0,0.46,68.84
405.0,4.0,-1.54,68.86
410.0,5.3,0.56,68.89
415.0,4.1,-2.01,68.91
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
